index,id,label,type,type_label,uri,birthYear,dateLabel,deathYear,externalURL,gregorianDate,hanjaName,headnote,lifeSpan,locationLabel,reignMonarch,reignYear,reignYearLabel,sexagenaryYear
28,doc_16530716b,문건16530716b,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16530716b,,"1653년(효종4,癸巳) 7월16일",,,1653-07-16,,,,,효종,4,효종 4년 (1653년),癸巳
29,doc_16550419,문건16550419,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16550419,,"1655년(효종6, 乙未) 4월19일",,,1655-04-19,,,,,효종,6,"효종 6년 (1655년(효종6, 乙未))",乙未
30,doc_16561118a,문건16561118a,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16561118a,,"1656년(효종7, 丙申) 11월18일",,,1656-11-18,,,,,효종,7,"효종 7년 (1656년(효종7, 丙申))",丙申
31,doc_16561118b,문건16561118b,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16561118b,,"1656년(효종7, 丙申) 11월18일",,,1656-11-18,,,,,효종,7,"효종 7년 (1656년(효종7, 丙申))",丙申
32,doc_16561118c,문건16561118c,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16561118c,,"1656년(효종7, 丙申) 11월18일",,,1656-11-18,,,,,효종,7,"효종 7년 (1656년(효종7, 丙申))",丙申
33,doc_16570103,문건16570103,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16570103,,"1657년(효종8,丁酉) 1월3일",,,1657-01-03,,,,,효종,8,효종 8년 (1657년),丁酉
34,doc_16570216,문건16570216,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16570216,,"1657년(효종8,丁酉) 2월16일",,,1657-02-16,,,,,효종,8,효종 8년 (1657년),丁酉
35,doc_16580317,문건16580317,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16580317,,"1658년(효종9,戊戌) 3월17일",,,1658-03-17,,,,,효종,9,효종 9년 (1658년),戊戌
36,doc_16581027a,문건16581027a,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16581027a,,"1658년(효종9,戊戌) 10월27일",,,1658-10-27,,,,,효종,9,효종 9년 (1658년),戊戌
37,doc_16581027b,문건16581027b,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16581027b,,"1658년(효종9,戊戌) 10월27일",,,1658-10-27,,,,,효종,9,효종 9년 (1658년),戊戌
38,doc_16581103,문건16581103,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16581103,,"1658년(효종9,戊戌) 11월3일",,,1658-11-03,,,,,효종,9,효종 9년 (1658년),戊戌
39,doc_16581211,문건16581211,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16581211,,"1658년(효종9,戊戌) 12월11일",,,1658-12-11,,,,,효종,9,효종 9년 (1658년),戊戌
40,doc_16600219a,문건16600219a,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16600219a,,"1660년(현종1, 庚子) 2월19일",,,1660-02-19,,,,,현종,1,현종 1년 (1660년),庚子
41,doc_16600219b,문건16600219b,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16600219b,,"1660년(현종1, 庚子) 2월19일",,,1660-02-19,,,,,현종,1,현종 1년 (1660년),庚子
42,doc_16600229,문건16600229,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16600229,,"1660년(현종1, 庚子) 2월29일",,,1660-02-29,,,,,현종,1,현종 1년 (1660년),庚子
43,doc_16600306,문건16600306,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16600306,,"1660년(현종1, 庚子) 3월6일",,,1660-03-06,,,,,현종,1,현종 1년 (1660년),庚子
44,doc_16600326,문건16600326,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16600326,,"1660년(현종1, 庚子) 3월26일",,,1660-03-26,,,,,현종,1,현종 1년 (1660년),庚子
45,doc_16600808,문건16600808,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16600808,,"1660년(현종1, 庚子) 8월8일",,,1660-08-08,,,,,현종,1,현종 1년 (1660년),庚子
46,doc_16600916,문건16600916,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16600916,,"1660년(현종1, 庚子) 9월16일",,,1660-09-16,,,,,현종,1,현종 1년 (1660년),庚子
47,doc_16601010,문건16601010,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16601010,,"1660년(현종1, 庚子) 10월10일",,,1660-10-10,,,,,현종,1,현종 1년 (1660년),庚子
48,doc_16610310,문건16610310,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16610310,,"1661년(현종2, 辛丑) 3월10일",,,1661-03-10,,,,,현종,2,현종2년 (1661년),辛丑
49,doc_16610605,문건16610605,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16610605,,"1661년(현종2, 辛丑) 6월5일",,,1661-06-05,,,,,현종,2,현종2년 (1661년),辛丑
50,doc_16610720,문건16610720,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16610720,,"1661년(현종2, 辛丑) 7월20일",,,1661-07-20,,,,,현종,2,현종2년 (1661년),辛丑
51,doc_16611023,문건16611023,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16611023,,"1661년(현종2, 辛丑) 10월23일",,,1661-10-23,,,,,현종,2,현종2년 (1661년),辛丑
52,doc_16611117a,문건16611117a,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16611117a,,"1661년(현종2, 辛丑) 11월17일",,,1661-11-17,,,,,현종,2,현종2년 (1661년),辛丑
53,doc_16611117b,문건16611117b,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16611117b,,"1661년(현종2, 辛丑) 11월17일",,,1661-11-17,,,,,현종,2,현종2년 (1661년),辛丑
54,doc_16620126,문건16620126,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16620126,,"1662년(현종3, 壬寅) 1월26일",,,1662-01-26,,,,,현종,3,현종3년 (1662년),壬寅
55,doc_16620201,문건16620201,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16620201,,"1662년(현종3, 壬寅) 2월1일",,,1662-02-01,,,,,현종,3,현종3년 (1662년),壬寅
56,doc_16620205,문건16620205,Document,문건,http://dh.aks.ac.kr/ontologies/seowondeungrok#doc_16620205,,"1662년(현종3, 壬寅) 2월5일",,,1662-02-05,,,,,현종,3,현종3년 (1662년),壬寅
