index,source,target,relation,relation_label,source_label,target_label,source_type,target_type,relation_uri
37,AE35_2_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향35_2_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
38,AE37_1_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향37_1_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
39,AE37_2_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향37_2_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
40,AE37_3_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향37_3_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
41,AE38_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향38_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
42,AE39_1_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향39_1_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
43,AE39_2_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향39_2_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
44,AE39_3_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향39_3_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
45,AE3_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향3_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
46,AE40_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향40_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
47,AE41_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향41_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
48,AE42_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향42_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
49,AE43_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향43_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
50,AE44_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향44_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
51,AE45_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향45_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
52,AE46_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향46_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
53,AE47_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향47_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
54,AE48_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향48_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
55,AE49_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향49_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
56,AE4_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향4_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
57,AE4_Pet1_Review1,AdditionalEnshrinementPetition,actType,행위유형,추향4_청원1(심사1),추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
58,AE50_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향50_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
59,AE51_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향51_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
60,AE52_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향52_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
61,AE53_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향53_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
62,AE54_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향54_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
63,AE55_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향55_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
64,AE56_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향56_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
65,AE57_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향57_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
66,AE58_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향58_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
67,AE59_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향59_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
68,AE5_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향5_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
69,AE60_Pet1,AdditionalEnshrinementPetition,actType,행위유형,추향60_청원1,추향청원,Act,Concept,http://dh.aks.ac.kr/ontologies/seowondeungrok#actType
