id,label,type,originalText
doc_16440828b,문건16440828b,Document,曹 啓目粘連 判下是白有亦問于大臣則書院所在之 邑儒生多少自 朝廷未能詳知令各道監司査知 各邑儒生大數毋過五十人定額爲當云以此行移何如 啓毋過六七人似當更爲酌定爲良如敎
doc_16440828c,문건16440828c,Document,曹 啓目粘連 判下是白有亦書院所居儒生則皆着 籍鄕校鄕校儒生則多不得入院庸賤尤甚以此有校 院輕重之別此末路之弊也惟是書院之設自中原近代 而始全以待山林讀書之士故自前不以國法拘束今雖不 得已官定額數以汰冗雜若只定六七人則事體埋沒 人情必駭此非時急變通之事故令各道監司參酌多 少毋過二十人以除濫雜之弊恐或適中大臣之意亦如此 依此施行何如 啓此非時急之事則姑爲置之爲良如 敎
doc_16440828d,문건16440828d,Document,曹 啓目粘連判下是白有亦書院之弊人言已久方 伯之臣狀 啓本意則只欲係于新倉祠宇轉報 朝 廷得准乃許而臣曹妄意就加裁製再三覆議失於 愼重今有姑置之敎所當奉行而第此監司狀 啓主 意轉 稟 朝廷立祠之請則施行不難竝此置之依狀 啓施行之意他道監司處一體知委何如 啓依允
doc_16450119,문건16450119,Document,全羅監司狀 啓據曹回 啓書院之設雖出於士子尊 賢之意而必須一道士論歸一然後可以創立事是白去 乙愼景稷成慶昌等爲其祖私自創設於鄕校至近 之處極爲可駭前縣監朴長遠仍公議毁撤之故景 稷等銜怒於長遠乘遞任上來新官未赴任之時成 群欄入撤去新構霽月樓云霽月樓乃是公廨邑 民安敢下乎毁撤乎其爲風習尤極可惡其首倡人 依律定罪事本道監司處行移何如
doc_16460830,문건16460830,Document,守洪淸道監司爲相考事節到付懷德縣監牒呈內 節縣崇賢書院儒生前參奉宋希命等七十餘人聯 名呈狀內伏以此縣舊有書院在縣北龍頭里以享文翼 公鄭先生光弼文簡公金先生淨圭菴宋先生麟壽 中廢於壬辰兵燹歲己酉移創於縣西數里朝家 賜以崇賢之號矣今者僉議皆以爲沙溪金先生鄕 居接壤往來藏修積有年紀使群蒙得有所發四 禮以興行其遺澤餘薰沒世難忘當依宋時建安 東山書院我國廬江伊山書院諸賢合享之舊例竝享於 三先生之下道內士林大小齊謀無有異同而第念本 院係是恩額所在不可不稟故敢此陳達將此事由 轉報於方泊移文該曹不勝幸甚爲只爲呈狀是 臥乎所牒呈是置有亦崇賢書院旣非新建之地 鄕賢竝享自有通行之例今此多士情願實出於 公共之至誠亦係興修作成之方依例擧行具由移 文爲去乎相考向事本曹題辭內本道旣因多士情 願依例擧行則該曹更無容議相考施行向事行 移本道
doc_16490413,문건16490413,Document,全羅道全州居生員李基業等 上疏據曹 啓目粘 連 啓下是白有亦向前先正臣文元公李彦迪生於遐 裔之地學絶之後慨然遠慕聖賢之學不由師承得 之遺籍卓然樹立爲世儒宗眞可謂豪傑之士學者 之師也自 宣廟朝八方士子不謀同辭請以五賢從祀文 廟者凡數十年而彦迪其一也此誠出於群士好德之 心而其爲士類之所尊仰可知也彦迪嘗尹全州其善 政善敎入人之深立祀於其地已七十餘年而本州以豐 沛之鄕都會之雄曾未有祠院之設獨於彦迪尊奉 如是其出於至誠亦可知也今此儒生等千里遠來陳 疏請額其意實可嘉在宣廟旣得從祀文廟矣玉山之祠亦 蒙 賜額之 恩今此桐鄕遺愛之地七十年前已 立之祠其特賜題額以示 聖朝崇儒之道以副本州顒 望之誠恐是不可已者而事係 恩典自下不敢擅便上 裁何如 啓事體重大徐議處之爲良如敎
doc_16500529,문건16500529,Document,曹單子文正公深谷書院文成公紫雲書院文簡公坡 山書院等 賜額事 啓下額字書寫官童蒙敎官鄭 彦說 啓下
doc_16500530,문건16500530,Document,曹 啓曰先正臣文正公趙光祖文簡公成渾贈判書成 守琛文成公李珥學問道德一世宗師多士顒望之擧 始來於 聖上嗣服之初非但斯文之大幸實是曠世 之盛典中外相賀士林聳動瞻聆所及莫不欣忭今 此 賜額令善寫人繕寫亦令本道精備祭物本 曹郞廳齎擎 香祝額號以傳特示 朝家崇儒重 道之意何如 傳曰依啓
doc_16500601,문건16500601,Document,曹 啓曰以本曹先正臣趙光祖等 賜額草記 傳曰 曾亦有此規乎事 傳敎矣今此先正四臣祠宇 賜 額出於聖朝崇儒之特恩而至於賜祭前規則累經 變亂文籍蕩失今無可考之處敢 啓 傳曰曾前賜額 之規亦無耶考啓事 傳敎矣本曹文書因兵亂幾 盡散失只有 宣廟朝謄錄若干卷考諸曾前 賜 額之規則萬曆二十四年八月初八日因江原監司狀 啓本 曹回 啓內元沖甲義烈久而不泯嶺原城乃其據守破 敵之地立祠 賜額以爲激發人心之助似合事宜爲白 在果事係新創議大臣定奪施行議于大臣則向前 元沖甲立祠 賜額依該曹公事施行宜當令藝文 館撰定祠號送于本道懸板何如 啓依允又萬曆 三十一年六月初二日以湖南士子等陳疏忠臣高敬命 私祠賜額事本曹回 啓據問于大臣則鰲城府院君 李恒福以爲私祠 賜額古多有之亦非隆禮特係一時恩 榮伏惟上裁左議政尹承勳以爲古者亦有私祠賜額之 時前因上疏以賜額表忠之意旣爲獻議伏惟上裁右 議政柳永慶以爲私祠賜額古亦有之而皆出於一時 特恩非在下可議惟在聖裁大臣之意如此上裁施行 何如 啓依議事判下又本曹單子高敬命祠宇 賜 額事議大臣允下爲白有置同額號乙良令藝文 館撰定落點令善寫人書寫懸板諸事亦令該 掌依例擧行下送于本道何如萬曆三十一年六月初七 日 啓依所 啓施行爲良如敎高敬命祠號褒忠 祠萬曆三十一年六月二十三日宣額而藝文館三望褒 忠彰義義烈且補賜鄭夢周臨皐書院等事 載錄故敢此謄書以 啓此外更無考出之處敢 啓 傳曰知道
doc_16500705,문건16500705,Document,曹單子文簡公成渾贈判書成守琛文成公李珥 等兩書院 賜額致祭事坡州地下去曹郞廳所騎馬 卜馬各一匹及色吏所騎馬等令兵曹題給何如 啓依 所 啓施行爲良如敎
