경로,지역,서원명,배향인물,건립허가일,사액허가일,추향허가
사액만,경상도,병암서원 (屛巖書院),"김장생, 이이",,1702.05.13,
사액만,경상도,봉람서원 (鳳覽書院),이황,,1689.09.24,
사액만,경상도,서계서원 (西溪書院),오건,,1677.04.23,
사액만,경상도,역동서원 (易東書院),우탁,,1683.01.26,
사액만,경상도,영산서원 (英山書院),이황,,1693.11.13,
사액만,경상도,예림서원 (禮林書院),김종직,,1669.03.14,
사액만,경상도,예연서원 (禮淵書院),"곽준, 곽재우",,1676.01.10,
사액만,경상도,오산서원_구미(吳山書院),길재,,1669.03.14,
사액만,경상도,완계서원 (浣溪書院),김식,,1680.01.18,
사액만,경상도,월암서원 (月巖書院),"하위지, 김주, 이맹전",,1693.11.23,
사액만,경상도,육신사(六臣祠),"이개, 유성원, 하위지, 박팽년, 유응부, 성삼문",,1693.11.23,
사액만,경상도,주계서원 (周溪書院),"구봉령, 권춘란",,1692.11.16,
사액만,경상도,통영 충렬사 (統營 忠烈祠),이순신,,1663.10.05,
사액만,경상도,표충사 (表忠祠),신숭겸,,1670.12.29,
사액만,경상도,호계서원_안동(虎溪書院),"유성룡, 이황, 김성일",,1676.02.13,
사액만,경상도,회연서원 (檜淵書院),정구,,1689.11.05,
사액만,경상도,흥암서원 (興岩書院),송준길,,1705.07.11,
사액만,미기재,홍양서원(洪陽書院),윤증,,1724.04.08,
사액만,전라도,고흥 쌍충사 (高興 雙忠祠),"이대원, 정운",,1681.03.25,
사액만,전라도,남고서원 (南皐書院),"김천일, 이항",,1684.12.05,
사액만,전라도,노봉서원_남원(露峰書院),"홍순복, 최휘지, 오정길, 최상중, 최온",,1697.03.17,
사액만,전라도,대계서원 (大溪書院),안방준,,1703.10.10,
사액만,전라도,도원서원 (道源書院),"임억령, 최산두, 정구, 안방준",,1688.01.05,
사액만,전라도,동산서원 (東山書院),"이민서, 이경여",,1721.05.16,
사액만,전라도,반계서원 (潘溪書院),"박소, 박상충",,1697.03.17,
사액만,전라도,봉산서원 (蓬山書院),백인걸,,1666.08.27,
사액만,전라도,송강서원 (松江書院),정철,,1705.07.11,
사액만,전라도,송림서원 (松林書院),김권,,1681.03.25,
사액만,전라도,순천정충사 (順天旌忠祠),장윤,,1686.01.17,
사액만,전라도,용산재 및 덕양사 (龍山齋 및 德陽祠),신숭겸,,1695.05.27,
사액만,전라도,월정서원 (月井書院),박순,,1668.09.03,
사액만,전라도,의암서원 (義巖書院),유희춘,,1668.12.11,
사액만,전라도,정읍 무성서원 (井邑 武城書院),"정언충, 최치원, 송세림, 신잠, 김관, 김약묵, 정극인",,1696.01.09,
사액만,전라도,정충사(旌忠祠),"신호, 김준",,1657.02.16,
사액만,전라도,창주서원_남원(滄洲書院),"조헌, 김집",,1682.05.11,
사액만,충청도,청일서원 (淸逸書院),김시습,,1703.10.06,
사액만,충청도,노은서원 (魯恩書院),성삼문,,1692.03.25,
사액만,충청도,누암서원 (樓巖書院),"민정중, 송시열",,1702.09.14,
사액만,충청도,단암서원 (丹巖書院),"이황, 우탁",,1691.11.03,
사액만,충청도,도동서원_천안(道東書院),"정구, 황종해, 김일손",,1676.05.11,
사액만,충청도,미호서원 (渼湖書院),송규렴,,1721.05.13,
사액만,충청도,백원서원 (百源書院),"이여, 김덕숭, 이종학, 이부",,1669.04.11,
사액만,충청도,봉강서원 (鳳崗書院),"김식, 김권, 김육",,1672.06.29,
사액만,충청도,신항서원(莘巷書院),"송인수, 김정, 이색, 이이",,1658.10.27,
사액만,충청도,운곡서원 (雲谷書院),정구,,1676.05.25,
사액만,충청도,창강서원(滄江書院),황신,,1682.02.11,
사액만,충청도,충주 팔봉서원 (忠州 八峯書院),"노수신, 김세필, 이자, 이연경",,1661.07.20,
사액만,충청도,칠산서원(七山書院),유계,,1697.03.17,
사액만,충청도,혜학서원 (惠學書院),이세귀,,1722.09.05,
사액만,충청도,화양동서원 (華陽洞書院),송시열,,1696.09.06,
사액만,평안도,경현서원_강계(景賢書院),"주자, 이이, 이언적",,1664.12.19,
사액만,평안도,구봉서원_벽동(九峰書院),"박세채, 민정중, 민유중",,1697.03.17,
사액만,평안도,봉명서원 (鳳鳴書院),"김상헌, 김상용",,1668.12.11,
사액만,평안도,상현서원 (象賢書院),"김굉필, 조광조",,1693.09.24,
사액만,평안도,성산서원 (星山書院),"한우신, 정몽주",,1695.09.24,
사액만,평안도,안주 청천사 (淸川祠),"이원익, 김덕함, 을지문덕, 최윤덕",,1706.10.30,
사액만,평안도,오산서원_용강(鰲山書院),"김안국, 김정국",,1668.11.07,
사액만,평안도,용곡서원 (龍谷書院),선우협,,1681.11.24,
사액만,평안도,청계서원 (淸溪書院),"이황, 조호익, 김육",,1672.11.28,
사액만,평안도,학동서원 (鶴洞書院),김반,,1686.04.25,
사액만,함경도,용진서원 (龍津書院),송시열,,1695.10.02,
사액만,황해도,도동서원_송화(道東書院),"이황, 조광조, 이이",,1697.06.02,
사액만,황해도,동양서원 (東陽書院),"신숭겸, 이색",,1687.02.06,
사액만,황해도,문회서원 (文會書院),"박세채, 성혼, 조광조, 이이",,1697.06.14,
사액만,황해도,백록동서원 (白鹿洞書院),"김굉필, 주자, 이이",,1720.12.06,
사액만,황해도,봉양서원 (鳳陽書院),박세채,,1696.10.21,
사액만,황해도,연안 현충사(顯忠祠),"조광정, 이정암",,1703.10.06,
사액만,황해도,용암서원 (龍巖書院),"박세훈, 홍섬, 박세희, 주자, 이이",,1721.06.04,
사액만,황해도,정계서원 (程溪書院),유관,,1706.01.29,
사액만,황해도,청성묘 (淸聖廟),"백이, 숙제",,1701.03.15,
사액만,황해도,취봉서원 (鷲峰書院),"주자, 이이",,1697.01.24,
추향만,강원도,문암서원(文巖書院),,,,"1677.04.23 조경, 1677.04.23 이정형"
추향만,강원도,칠봉서원 (七峰書院),,,,1703.10.06 원호
추향만,경기도,도봉서원(道峯書院),,,,1694.10.06 송시열
추향만,경기도,문봉서원(文峯書院),,,,"1719.09.18 이신의, 1719.09.18 이유겸"
추향만,경기도,자운서원(紫雲書院),,,,1695.05.27 박세채
추향만,경기도,파산서원(坡山書院),,,,1741.01.26 성수종
추향만,경상도,달성 도동서원(達城 道東書院),,,,1677.11.27 정구
추향만,경상도,빙계서원(氷溪書院),,,,"1689.09.03 김성일, 1689.09.03 장현광, 1689.09.03 유성룡"
추향만,경상도,안락서원(安樂書院),,,,1643.05.29 정발
추향만,경상도,연경서원(硏經書院),,,,1676.03.28 정경세
추향만,경상도,임고서원(臨皐書院),,,,1643.05.06 장현광
추향만,경상도,천곡서원(川谷書院),,,,1642.07.28 장현광
추향만,경상도,함양 남계서원(咸陽 灆溪書院),,,,"1676.09.09 정온, 1689.09.19 강익"
추향만,전라도,경현서원_나주(景賢書院),,,,1693.11.16 김성일
추향만,전라도,여수 충민사(麗水 忠愍祠),,,,1677.04.23 안홍국
추향만,전라도,월봉서원(月峯書院),,,,"1671.09.29 박순, 1671.09.29 박상, 1673.06.28 김장생, 1673.06.28 김집"
추향만,충청도,보은 상현서원(報恩 象賢書院),,,,"1694.08.08 송시열, 1681.11.08 조헌, 1681.11.08 성제원"
추향만,충청도,부여 의열사(扶餘義烈祠),,,,1695.07.20 정택뢰
추향만,충청도,숭현서원(崇賢書院),,,,"1646.08.30 김장생, 1674.02.14 송준길, 1681.01.05 송준길, 1694.08.08 송시열"
추향만,충청도,창렬사(彰烈祠),,,,"1721.04.11 윤집, 1721.04.11 오달제, 1721.04.11 홍익한"
추향만,충청도,창주서원_옥천(滄洲書院),,,,"1694.08.08 송시열, 1718.03.13 송준길"
추향만,충청도,충현서원_공주(忠賢書院),,,,1686.01.17 송준길
추향만,평안도,충민사(忠愍祠),,,,"1684.09.02 전상의, 1681.07.26 김언수, 1681.07.26 윤혜, 1681.07.26 장돈, 1681.07.26 송덕영, 1681.07.26 양진국, 1681.07.26 이희건, 1681.07.26 김양언, 1681.07.26 함응수, 1681.07.26 임충서, 1681.07.26 송도남, 1681.07.26 전상의, 1681.07.26 이상안, 1681.07.26 한덕문"
추향만,평안도,학령서원(鶴翎書院),,,,1741.01.26 박대덕
